調查日期,國道名稱,國道編號,方向,樁號,里程,原始坐標E,原始坐標N,經緯度坐標Lon,經緯度坐標Lat,鋪面種類,路幅寬,全路幅寬,車道數,車道1寬,車道2寬,車道3寬,車道4寬,車道5寬,車道6寬,槽化區,槽化區寬,內路肩,內路肩寬,外路肩,外路肩寬,輔助車道1,輔助車道1寬,輔助車道2,輔助車道2寬,輔助車道3,輔助車道3寬,避車彎,曲率半徑,縱向坡度,橫向坡度
2022/9/1,國道一號,N0010,往北,100K+800,100800,247794.27,2737912.971,120.9781923,24.74842196,柔性,14.618,14.618,3,3.741,3.672,3.637,0,0,0,無,0,無,0.497,有,3.071,無,0,無,0,無,0,無,840.564,0.031,-0.048
2022/9/1,國道一號,N0010,往北,100K+850,100850,247757.932,2737879.786,120.9778331,24.7481223,柔性,14.68,14.68,3,3.69,3.72,3.597,0,0,0,無,0,有,0.537,有,3.136,無,0,無,0,無,0,無,2468.838,0.028,-0.042
2022/9/1,國道一號,N0010,往北,100K+900,100900,247724.258,2737844.039,120.9775002,24.7477995,柔性,15.094,15.094,3,3.645,3.685,3.635,0,0,0,無,0,有,0.666,有,3.465,無,0,無,0,無,0,無,1037.797,0.031,-0.039
2022/9/1,國道一號,N0010,往北,100K+950,100950,247688.325,2737802.72,120.977145,24.74742638,柔性,15.604,15.604,3,3.63,3.78,3.61,0,0,0,無,0,有,0.634,有,3.949,無,0,無,0,無,0,無,1092.088,0.028,-0.044
2022/9/1,國道一號,N0010,往北,101K+000,101000,247654.961,2737759,120.9768152,24.7470316,柔性,15.408,15.408,3,3.71,3.665,3.665,0,0,0,無,0,有,0.907,有,3.462,無,0,無,0,無,0,無,931.15,0.025,-0.042
2022/9/1,國道一號,N0010,往北,101K+050,101050,247626.614,2737719.829,120.9765351,24.7466779,柔性,15.39,15.39,3,3.687,3.718,3.649,0,0,0,無,0,有,0.904,有,3.433,無,0,無,0,無,0,無,971.238,0.025,-0.068
2022/9/1,國道一號,N0010,往北,101K+100,101100,247601.426,2737678.676,120.9762861,24.7463063,柔性,15.645,15.645,3,3.669,3.697,3.649,0,0,0,無,0,有,1.076,有,3.554,無,0,無,0,無,0,無,981.927,0.02,-0.063
2022/9/1,國道一號,N0010,往北,101K+150,101150,247578.591,2737638.94,120.9760604,24.7459475,柔性,15.634,15.634,3,3.628,3.707,3.695,0,0,0,無,0,有,1.071,有,3.533,無,0,無,0,無,0,無,1005.157,0.018,-0.057
2022/9/1,國道一號,N0010,往北,101K+200,101200,247558.277,2737597.916,120.9758596,24.74557707,柔性,15.613,15.613,3,3.657,3.745,3.65,0,0,0,無,0,有,1.094,有,3.466,無,0,無,0,無,0,無,999.759,0.016,-0.063
2022/9/1,國道一號,N0010,往北,101K+250,101250,247538.237,2737554.523,120.9756616,24.74518526,柔性,15.391,15.391,3,3.654,3.701,3.681,0,0,0,無,0,有,1.148,有,3.208,無,0,無,0,無,0,無,1011.893,0.011,-0.053
