調查日期,國道名稱,國道編號,方向,樁號,里程,原始坐標E,原始坐標N,經緯度坐標Lon,經緯度坐標Lat,鋪面種類,路幅寬,全路幅寬,車道數,車道1寬,車道2寬,車道3寬,車道4寬,車道5寬,車道6寬,槽化區,槽化區寬,內路肩,內路肩寬,外路肩,外路肩寬,輔助車道1,輔助車道1寬,輔助車道2,輔助車道2寬,輔助車道3,輔助車道3寬,避車彎,曲率半徑,縱向坡度,橫向坡度
2022/8/17,國道一號,N0010,往北,251K+100,251100,192454.914,2611387.641,120.4361138,23.60495597,柔性,18.027,18.027,4,3.681,3.644,3.682,0,0,0,無,0,有,1.049,無,2.328,減速車道,3.643,無,0,無,0,無,60686.46,0.004,-0.022
2022/8/17,國道一號,N0010,往北,251K+150,251150,192446.62,2611338.432,120.4360345,23.60451134,柔性,17.983,17.983,4,3.65,3.628,3.742,0,0,0,無,0,有,0.983,無,2.396,減速車道,3.584,無,0,無,0,無,46468.58,0.004,-0.023
2022/8/17,國道一號,N0010,往北,251K+200,251200,192437.882,2611289.094,120.4359507,23.60406552,柔性,17.035,17.035,4,3.642,3.705,3.677,0,0,0,無,0,有,0.913,有,2.788,減速車道,2.31,無,0,無,0,無,3763.18,0.003,-0.029
2022/8/17,國道一號,N0010,往北,251K+250,251250,192428.278,2611240.109,120.4358585,23.60362286,柔性,15.782,15.782,3,3.663,3.721,3.667,0,0,0,無,0,有,0.881,有,3.85,無,0,無,0,無,0,無,4058.87,0.001,-0.029
2022/8/17,國道一號,N0010,往北,251K+300,251300,192420.118,2611190.625,120.4357805,23.60317576,柔性,15.596,15.596,3,3.642,3.692,3.673,0,0,0,無,0,有,0.824,有,3.765,無,0,無,0,無,0,無,2321.003,0.002,-0.029
2022/8/17,國道一號,N0010,往北,251K+350,251350,192411.703,2611141.527,120.4356999,23.60273212,柔性,15.716,15.716,3,3.587,3.656,3.696,0,0,0,無,0,有,0.878,有,3.899,無,0,無,0,無,0,無,33571.38,0,-0.029
2022/8/17,國道一號,N0010,往北,251K+400,251400,192406.872,2611091.758,120.4356545,23.60228255,柔性,15.925,15.925,3,3.629,3.691,3.642,0,0,0,無,0,有,0.85,有,4.113,無,0,無,0,無,0,有,17656.32,0,-0.025
2022/8/17,國道一號,N0010,往北,251K+450,251450,192394.708,2611043.509,120.4355372,23.60184645,柔性,15.641,15.641,3,3.697,3.686,3.685,0,0,0,無,0,有,0.738,有,3.834,無,0,無,0,無,0,無,16308.49,-0.001,-0.027
2022/8/17,國道一號,N0010,往北,251K+500,251500,192386.321,2610994.547,120.4354569,23.60140404,柔性,15.555,15.555,3,3.61,3.717,3.668,0,0,0,無,0,有,0.792,有,3.768,無,0,無,0,無,0,無,56688.84,-0.003,-0.028
2022/8/17,國道一號,N0010,往北,251K+550,251550,192377.161,2610945.442,120.435369,23.60096032,柔性,15.586,15.586,3,3.621,3.723,3.674,0,0,0,無,0,有,0.816,有,3.752,無,0,無,0,無,0,無,12835.66,-0.003,-0.027
2022/8/17,國道一號,N0010,往北,251K+600,251600,192368.474,2610896.211,120.4352858,23.60051547,柔性,15.679,15.679,3,3.676,3.697,3.701,0,0,0,無,0,有,0.79,有,3.815,無,0,無,0,無,0,無,13822.49,-0.004,-0.028
2022/8/17,國道一號,N0010,往北,251K+650,251650,192359.023,2610847.16,120.4351951,23.60007222,柔性,15.626,15.626,3,3.671,3.701,3.733,0,0,0,無,0,有,0.765,有,3.756,無,0,無,0,無,0,無,17699.05,-0.004,-0.026
2022/8/17,國道一號,N0010,往北,251K+700,251700,192349.791,2610798.039,120.4351066,23.59962836,柔性,15.56,15.56,3,3.637,3.641,3.722,0,0,0,無,0,有,0.811,有,3.749,無,0,無,0,無,0,無,16491.09,-0.003,-0.028
2022/8/17,國道一號,N0010,往北,251K+750,251750,192340.129,2610749.001,120.4350138,23.59918522,柔性,15.522,15.522,3,3.634,3.633,3.705,0,0,0,無,0,有,0.816,有,3.733,無,0,無,0,無,0,無,13170.74,-0.004,-0.028
2022/8/17,國道一號,N0010,往北,251K+800,251800,192330.7,2610699.867,120.4349233,23.59874122,柔性,15.427,15.427,3,3.619,3.699,3.645,0,0,0,無,0,有,0.796,有,3.668,無,0,無,0,無,0,無,15916.32,-0.003,-0.028
2022/8/17,國道一號,N0010,往北,251K+850,251850,192320.501,2610650.958,120.4348253,23.59829922,柔性,15.389,15.389,3,3.638,3.693,3.679,0,0,0,無,0,有,0.768,有,3.611,無,0,無,0,無,0,無,11097.5,-0.003,-0.028
2022/8/17,國道一號,N0010,往北,251K+900,251900,192310.645,2610601.945,120.4347306,23.59785631,柔性,15.43,15.43,3,3.663,3.685,3.699,0,0,0,無,0,有,0.77,有,3.613,無,0,無,0,無,0,無,8766.724,-0.003,-0.027
2022/8/17,國道一號,N0010,往北,251K+950,251950,192299.529,2610551.107,120.4346236,23.59739687,柔性,15.469,15.469,3,3.648,3.683,3.663,0,0,0,無,0,有,0.819,有,3.656,無,0,無,0,無,0,無,9236.647,-0.004,-0.03
2022/8/17,國道一號,N0010,往北,252K+000,252000,192289.391,2610500.07,120.4345263,23.59693566,柔性,15.038,15.038,3,3.73,3.672,3.656,0,0,0,無,0,有,0.761,有,3.219,無,0,無,0,無,0,無,6976.548,-0.004,-0.025
2022/8/17,國道一號,N0010,往北,252K+050,252050,192277.149,2610452.417,120.4344082,23.59650493,柔性,15.006,15.006,3,3.677,3.703,3.672,0,0,0,無,0,有,0.769,有,3.185,無,0,無,0,無,0,無,23004.39,-0.003,-0.023
2022/8/17,國道一號,N0010,往北,252K+100,252100,192266.486,2610404.391,120.4343056,23.59607089,柔性,15.068,15.068,3,3.676,3.662,3.668,0,0,0,無,0,有,0.854,有,3.208,無,0,無,0,無,0,無,10918.98,-0.003,-0.021
2022/8/17,國道一號,N0010,往北,252K+150,252150,192254.762,2610355.817,120.4341926,23.59563187,柔性,15.054,15.054,3,3.703,3.681,3.664,0,0,0,無,0,有,0.73,有,3.277,無,0,無,0,無,0,無,5731.111,-0.004,-0.023
2022/8/17,國道一號,N0010,往北,252K+200,252200,192243.533,2610307.195,120.4340844,23.59519244,柔性,14.993,14.993,3,3.654,3.68,3.644,0,0,0,無,0,有,0.84,有,3.175,無,0,無,0,無,0,無,11666.04,-0.004,-0.023
2022/8/17,國道一號,N0010,往北,252K+250,252250,192231.039,2610258.75,120.4339639,23.59475455,柔性,15.084,15.084,3,3.675,3.692,3.689,0,0,0,無,0,有,0.768,有,3.261,無,0,無,0,無,0,無,10464.39,-0.003,-0.024
2022/8/17,國道一號,N0010,往北,252K+300,252300,192219.034,2610210.156,120.4338482,23.59431534,柔性,15.135,15.135,3,3.685,3.69,3.703,0,0,0,無,0,有,0.761,有,3.296,無,0,無,0,無,0,無,6089.14,-0.004,-0.025
2022/8/17,國道一號,N0010,往北,252K+350,252350,192205.86,2610160.928,120.433721,23.59387036,柔性,15.23,15.23,3,3.678,3.672,3.67,0,0,0,無,0,有,0.837,有,3.374,無,0,無,0,無,0,無,9631.56,-0.003,-0.022
2022/8/17,國道一號,N0010,往北,252K+400,252400,192192.996,2610111.625,120.4335969,23.59342471,柔性,15.123,15.123,3,3.697,3.673,3.651,0,0,0,無,0,有,0.774,有,3.328,無,0,無,0,無,0,無,7405.338,-0.003,-0.021
2022/8/17,國道一號,N0010,往北,252K+450,252450,192179.349,2610063.486,120.433465,23.59298955,柔性,15.134,15.134,3,3.657,3.651,3.66,0,0,0,無,0,有,0.8,有,3.366,無,0,無,0,無,0,無,8360.117,-0.003,-0.024
2022/8/17,國道一號,N0010,往北,252K+500,252500,192166.127,2610015.258,120.4333373,23.59255359,柔性,15.208,15.208,3,3.674,3.669,3.693,0,0,0,無,0,有,0.818,有,3.354,無,0,無,0,無,0,無,7458.051,-0.004,-0.025
2022/8/17,國道一號,N0010,往北,252K+550,252550,192152.108,2609968.274,120.4332018,23.59212885,柔性,15.302,15.302,3,3.674,3.63,3.648,0,0,0,無,0,有,0.906,有,3.444,無,0,無,0,無,0,無,5597.781,-0.004,-0.013
2022/8/17,國道一號,N0010,往北,252K+600,252600,192138.312,2609921.273,120.4330685,23.59170395,柔性,15.251,15.251,3,3.639,3.625,3.667,0,0,0,無,0,有,0.983,有,3.338,無,0,無,0,無,0,無,9131.601,-0.008,-0.011
2022/8/17,國道一號,N0010,往北,252K+650,252650,192123.499,2609873.674,120.4329252,23.59127362,柔性,15.251,15.251,3,3.68,3.638,3.574,0,0,0,無,0,有,0.991,有,3.367,無,0,無,0,無,0,無,7252.004,-0.004,-0.019
2022/8/17,國道一號,N0010,往北,252K+700,252700,192109.088,2609825.992,120.4327858,23.59084256,柔性,15.267,15.267,3,3.667,3.657,3.634,0,0,0,無,0,有,0.992,有,3.317,無,0,無,0,無,0,無,9125.767,-0.001,-0.02
2022/8/17,國道一號,N0010,往北,252K+750,252750,192093.075,2609777.381,120.4326308,23.59040305,柔性,15.072,15.072,3,3.675,3.64,3.621,0,0,0,無,0,有,0.865,有,3.272,無,0,無,0,無,0,無,6700.347,-0.001,-0.022
2022/8/17,國道一號,N0010,往北,252K+800,252800,192077.578,2609728.602,120.4324809,23.58996203,柔性,15.141,15.141,3,3.667,3.618,3.693,0,0,0,無,0,有,0.862,有,3.302,無,0,無,0,無,0,無,8419.452,-0.003,-0.026
2022/8/17,國道一號,N0010,往北,252K+850,252850,192061.405,2609681.311,120.4323243,23.58953443,柔性,15.049,15.049,3,3.67,3.624,3.712,0,0,0,無,0,有,0.802,有,3.241,無,0,無,0,無,0,無,7410.615,-0.003,-0.023
2022/8/17,國道一號,N0010,往北,252K+900,252900,192045.583,2609633.883,120.4321711,23.58910561,柔性,15.031,15.031,3,3.646,3.656,3.687,0,0,0,無,0,有,0.816,有,3.226,無,0,無,0,無,0,無,7382.317,-0.004,-0.026
