調查日期,國道名稱,國道編號,方向 ,樁號,里程,匝道編號,匝道編號 (舊),交流道名稱,匝道中文描述,出入國道,鋪面種類,與匝道起點距離,原始坐標E,原始坐標N,經緯度坐標Lon,經緯度坐標Lat,路幅寬,車道數,車道1寬,車道2寬,車道3寬,車道4寬,槽化區,槽化區寬,方位角,曲率半徑,縱向坡度,橫向坡度
2022/8/30,國道一號,N0010,往北,192K+000,192000,100192NC000,12,彰化系統交流道,,,柔性,0,204636.789,2666735.781,120.55377296,24.10510818,18.240,3,3.670,3.642,7.295,0.000,無,0.000,3.099,26235579.000,-0.006,0.006
2022/8/30,國道一號,N0010,往北,192K+000,192000,100192NC000,14,彰化系統交流道,,,柔性,10,204627.668,2666725.379,120.55368357,24.10501400,18.020,4,3.694,3.471,3.587,3.655,無,0.000,3.099,32237649.000,-0.006,0.001
2022/8/30,國道一號,N0010,往北,192K+000,192000,100192NC000,14,彰化系統交流道,,,柔性,20,204628.221,2666715.394,120.55368932,24.10492385,17.788,4,3.673,3.291,3.559,3.645,無,0.000,3.099,26309.450,-0.007,-0.004
2022/8/30,國道一號,N0010,往北,192K+000,192000,100192NC000,14,彰化系統交流道,,,柔性,30,204628.734,2666705.407,120.55369468,24.10483369,17.602,4,3.649,3.135,3.557,3.617,無,0.000,3.099,58229.480,-0.006,-0.008
2022/8/30,國道一號,N0010,往北,192K+000,192000,100192NC000,14,彰化系統交流道,,,柔性,40,204629.255,2666695.427,120.55370012,24.10474360,17.406,4,3.623,2.977,3.543,3.618,無,0.000,3.099,7901.829,-0.005,-0.011
2022/8/30,國道一號,N0010,往北,192K+000,192000,100192NC000,14,彰化系統交流道,,,柔性,50,204629.797,2666685.437,120.55370576,24.10465341,17.174,4,3.625,2.794,3.534,3.600,無,0.000,3.098,39454.040,-0.005,-0.016
2022/8/30,國道一號,N0010,往北,192K+000,192000,100192NC000,14,彰化系統交流道,,,柔性,60,204630.310,2666675.429,120.55371112,24.10456306,16.954,4,3.630,2.569,3.555,3.586,無,0.000,3.098,9785.314,-0.005,-0.020
2022/8/30,國道一號,N0010,往北,192K+000,192000,100192NC000,14,彰化系統交流道,,,柔性,70,204630.837,2666665.471,120.55371661,24.10447317,16.750,4,3.640,2.316,3.634,3.569,無,0.000,3.097,3886.107,-0.004,-0.020
2022/8/30,國道一號,N0010,往北,192K+000,192000,100192NC000,14,彰化系統交流道,,,柔性,80,204631.361,2666655.443,120.55372208,24.10438263,16.532,4,3.665,2.050,3.660,3.595,無,0.000,3.100,23932.910,-0.002,-0.021
2022/8/30,國道一號,N0010,往北,192K+000,192000,100192NC000,14,彰化系統交流道,,,柔性,90,204631.891,2666645.511,120.55372760,24.10429297,16.353,4,3.657,1.817,3.688,3.597,無,0.000,3.100,6457.366,-0.002,-0.020
2022/8/30,國道一號,N0010,往北,192K+000,192000,100192NC000,14,彰化系統交流道,,,柔性,100,204632.406,2666635.497,120.55373299,24.10420257,16.173,4,3.656,1.605,3.708,3.582,無,0.000,3.099,29221.830,-0.003,-0.020
2022/8/30,國道一號,N0010,往北,192K+000,192000,100192NC000,14,彰化系統交流道,,,柔性,110,204632.923,2666625.515,120.55373838,24.10411245,15.997,4,3.635,1.447,3.654,3.602,無,0.000,3.098,17245.930,-0.003,-0.020
2022/8/30,國道一號,N0010,往北,192K+000,192000,100192NC000,14,彰化系統交流道,,,柔性,120,204633.465,2666615.516,120.55374403,24.10402219,15.776,4,3.629,1.246,3.642,3.599,無,0.000,3.098,9994.834,-0.001,-0.019
2022/8/30,國道一號,N0010,往北,192K+000,192000,100192NC000,14,彰化系統交流道,,,柔性,130,204633.983,2666605.540,120.55374944,24.10393212,15.587,4,3.631,1.055,3.637,3.605,無,0.000,3.099,18374.570,-0.002,-0.018
2022/8/30,國道一號,N0010,往北,192K+000,192000,100192NC000,14,彰化系統交流道,,,柔性,140,204634.512,2666595.558,120.55375495,24.10384202,15.401,4,3.660,0.800,3.693,3.581,無,0.000,3.099,5927.898,-0.002,-0.017
2022/8/30,國道一號,N0010,往北,192K+000,192000,100192NC000,14,彰化系統交流道,,,柔性,150,204635.049,2666585.579,120.55376054,24.10375192,15.173,4,3.647,0.617,3.699,3.565,無,0.000,3.101,48765.000,-0.003,-0.018
2022/8/30,國道一號,N0010,往北,192K+000,192000,100192NC000,14,彰化系統交流道,,,柔性,160,204635.612,2666575.602,120.55376639,24.10366185,14.931,4,3.642,0.393,3.710,3.572,無,0.000,3.101,3366.890,-0.003,-0.024
2022/8/30,國道一號,N0010,往北,192K+000,192000,100192NC000,14,彰化系統交流道,,,柔性,170,204636.068,2666565.602,120.55377120,24.10357158,14.800,4,3.642,0.215,3.704,3.594,無,0.000,3.098,1347.110,-0.004,-0.021
2022/8/30,國道一號,N0010,往北,192K+000,192000,100192NC000,14,彰化系統交流道,,,柔性,180,204636.593,2666555.548,120.55377667,24.10348082,14.618,3,3.613,3.759,3.612,0.000,無,0.000,3.090,9582.199,-0.003,-0.020
2022/8/30,國道一號,N0010,往北,192K+000,192000,100192NC000,14,彰化系統交流道,,,柔性,190,204637.144,2666545.547,120.55378240,24.10339053,14.556,3,3.652,3.683,3.605,0.000,無,0.000,3.089,91357.590,-0.003,-0.020
2022/8/30,國道一號,N0010,往北,192K+000,192000,100192NC000,14,彰化系統交流道,,,柔性,200,204637.675,2666535.552,120.55378794,24.10330030,14.513,3,3.702,3.661,3.589,0.000,無,0.000,3.089,17968.100,-0.004,-0.017
2022/8/30,國道一號,N0010,往北,192K+000,192000,100192NC000,14,彰化系統交流道,,,柔性,210,204638.192,2666525.581,120.55379333,24.10321029,14.575,3,3.679,3.634,3.619,0.000,無,0.000,3.090,4248.500,-0.004,-0.020
2022/8/30,國道一號,N0010,往北,192K+000,192000,100192NC000,14,彰化系統交流道,,,柔性,220,204638.711,2666515.574,120.55379875,24.10311994,14.575,3,3.639,3.723,3.564,0.000,無,0.000,3.087,17250.170,-0.003,-0.020
