調查日期,國道名稱,國道編號,方向,樁號,里程,原始坐標E,原始坐標N,經緯度坐標Lon,經緯度坐標Lat,鋪面種類,路幅寬,全路幅寬,車道數,車道1寬,車道2寬,車道3寬,車道4寬,車道5寬,車道6寬,槽化區,槽化區寬,內路肩,內路肩寬,外路肩,外路肩寬,輔助車道1,輔助車道1寬,輔助車道2,輔助車道2寬,輔助車道3,輔助車道3寬,避車彎,曲率半徑,縱向坡度,橫向坡度
2022/5/19,國道三號,N0030,往北,000K+000,0,322065.136,2781433.428,121.7147383,25.13962175,柔性,10.019,10.019,2,3.754,3.75,0,0,0,0,無,0,有,0.712,無,1.803,無,0,無,0,無,0,無,,-0.027,-0.021
2022/5/19,國道三號,N0030,往北,000K+050,50,322040.732,2781415.645,121.7144953,25.13946239,柔性,11.187,11.187,2,3.766,3.763,0,0,0,0,無,0,有,0.705,有,2.953,無,0,無,0,無,0,無,54876.51,-0.023,-0.021
2022/5/19,國道三號,N0030,往北,000K+100,100,322016.002,2781398.374,121.7142491,25.13930765,柔性,11.367,11.367,2,3.752,3.792,0,0,0,0,無,0,有,0.673,有,3.149,無,0,無,0,無,0,無,32810.86,-0.025,-0.018
2022/5/19,國道三號,N0030,往北,000K+150,150,321978.577,2781373.689,121.7138767,25.1390866,柔性,11.382,11.382,2,3.787,3.765,0,0,0,0,無,0,有,0.681,有,3.15,無,0,無,0,無,0,無,37539.8,-0.023,-0.019
2022/5/19,國道三號,N0030,往北,000K+200,200,321941.545,2781348.368,121.7135081,25.13885978,柔性,11.363,11.363,2,3.784,3.762,0,0,0,0,無,0,有,0.749,有,3.067,無,0,無,0,無,0,無,28921.34,-0.026,-0.014
2022/5/19,國道三號,N0030,往北,000K+250,250,321899.857,2781320.866,121.7130932,25.13861349,柔性,11.347,11.347,2,3.811,3.75,0,0,0,0,無,0,有,0.762,有,3.023,無,0,無,0,無,0,無,38075.08,-0.026,0.009
2022/5/19,國道三號,N0030,往北,000K+300,300,321858.297,2781292.975,121.7126796,25.13836369,柔性,11.317,11.317,2,3.626,3.774,0,0,0,0,無,0,有,0.807,有,3.109,無,0,無,0,無,0,無,6519.863,-0.026,0.033
2022/5/19,國道三號,N0030,往北,000K+350,350,321816.895,2781267.381,121.7122677,25.13813461,柔性,11.385,11.385,2,3.991,3.62,0,0,0,0,無,0,有,0.649,有,3.125,無,0,無,0,無,0,無,1882.893,-0.022,0.032
2022/5/19,國道三號,N0030,往北,000K+400,400,321774.969,2781242.254,121.7118506,25.13790978,柔性,11.314,11.314,2,3.804,3.681,0,0,0,0,無,0,有,0.71,有,3.119,無,0,無,0,無,0,無,1989.541,-0.024,0.034
2022/5/19,國道三號,N0030,往北,000K+450,450,321729.405,2781221.201,121.7113976,25.13772189,柔性,8.104,17.386,2,3.709,3.548,0,0,0,0,有,1.589,有,0.847,無,0,無,0,無,0,無,0,無,1714.132,-0.022,0.033
