調查日期,國道名稱,國道編號,方向 ,樁號,里程,匝道編號,匝道編號 (舊),交流道名稱,匝道中文描述,出入國道,鋪面種類,與匝道起點距離,原始坐標E,原始坐標N,經緯度坐標Lon,經緯度坐標Lat,路幅寬,車道數,車道1寬,車道2寬,車道3寬,車道4寬,槽化區,槽化區寬,方位角,曲率半徑,縱向坡度,橫向坡度
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,0,206396.871,2615386.643,120.57261095,23.64150206,6.926,1,4.611,0.000,0.000,0.000,有,0.000,0.183,17090.220,-0.001,-0.003
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,10,206405.534,2615395.210,120.57269561,23.64157966,6.953,1,4.601,0.000,0.000,0.000,有,0.234,0.182,14969.570,0.000,-0.001
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,20,206407.249,2615405.062,120.57271213,23.64166866,6.841,1,4.562,0.000,0.000,0.000,有,0.468,0.182,3056.158,-0.004,-0.009
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,30,206409.072,2615414.899,120.57272972,23.64175754,6.839,1,4.542,0.000,0.000,0.000,有,0.701,0.178,19750.090,-0.005,-0.017
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,40,206410.860,2615424.754,120.57274695,23.64184658,6.820,1,4.511,0.000,0.000,0.000,有,0.913,0.178,15468.120,-0.005,-0.019
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,50,206412.606,2615434.600,120.57276378,23.64193553,6.784,1,4.486,0.000,0.000,0.000,有,1.102,0.177,3806.589,-0.006,-0.018
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,60,206414.346,2615444.463,120.57278054,23.64202464,6.774,1,4.496,0.000,0.000,0.000,有,1.257,0.175,34891001.000,-0.006,-0.021
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,70,206416.140,2615454.301,120.57279783,23.64211352,6.871,1,4.562,0.000,0.000,0.000,有,1.361,0.175,339855.500,-0.006,-0.024
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,80,206417.918,2615464.142,120.57281497,23.64220243,6.920,1,4.595,0.000,0.000,0.000,有,1.498,0.175,510187.300,-0.006,-0.025
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,90,206419.647,2615473.991,120.57283164,23.64229141,6.900,1,4.574,0.000,0.000,0.000,有,1.654,0.175,,-0.005,-0.022
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,100,206421.391,2615483.838,120.57284844,23.64238037,6.863,1,4.515,0.000,0.000,0.000,有,1.846,0.175,2977.272,-0.005,-0.030
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,110,206423.107,2615493.689,120.57286497,23.64246937,6.834,1,4.490,0.000,0.000,0.000,有,2.111,0.171,2320.464,-0.005,-0.034
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,120,206424.781,2615503.584,120.57288109,23.64255876,6.793,1,4.482,0.000,0.000,0.000,有,2.339,0.167,16183.480,-0.004,-0.035
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,130,206426.459,2615513.442,120.57289725,23.64264783,6.822,1,4.517,0.000,0.000,0.000,有,2.507,0.168,3730.513,-0.004,-0.035
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,140,206428.118,2615523.288,120.57291322,23.64273678,6.843,1,4.562,0.000,0.000,0.000,有,2.668,0.170,68932207.000,-0.003,-0.025
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,150,206429.811,2615533.144,120.57292952,23.64282582,6.758,1,4.477,0.000,0.000,0.000,有,2.965,0.170,24505.980,-0.003,-0.029
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,160,206431.514,2615542.998,120.57294593,23.64291484,6.819,1,4.527,0.000,0.000,0.000,有,3.127,0.170,12300.800,-0.004,-0.025
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,170,206433.193,2615552.861,120.57296210,23.64300396,6.825,1,4.544,0.000,0.000,0.000,有,3.318,0.169,15374517.000,-0.004,-0.033
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,180,206434.886,2615562.717,120.57297840,23.64309299,6.821,1,4.519,0.000,0.000,0.000,有,3.535,0.169,8982.105,-0.004,-0.038
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,190,206436.559,2615572.576,120.57299451,23.64318207,6.800,1,4.497,0.000,0.000,0.000,有,3.747,0.168,8000.930,-0.005,-0.041
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,200,206438.263,2615582.441,120.57301092,23.64327119,6.844,1,4.510,0.000,0.000,0.000,有,3.925,0.167,4628.320,-0.006,-0.035
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,210,206439.933,2615592.300,120.57302700,23.64336026,10.080,1,4.541,0.000,0.000,0.000,有,3.208,0.169,5005.537,-0.010,-0.025
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,220,206441.596,2615602.142,120.57304302,23.64344917,9.025,1,4.542,0.000,0.000,0.000,無,0.000,0.171,369508.400,-0.014,-0.013
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,230,206443.321,2615611.992,120.57305964,23.64353816,8.976,1,4.581,0.000,0.000,0.000,無,0.000,0.171,6112.547,-0.014,-0.021
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,240,206445.060,2615621.832,120.57307639,23.64362706,9.028,1,4.605,0.000,0.000,0.000,無,0.000,0.173,35811.440,-0.014,-0.027
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,250,206446.714,2615631.694,120.57309232,23.64371616,8.977,1,4.583,0.000,0.000,0.000,無,0.000,0.172,5184.643,-0.015,-0.029
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,260,206448.401,2615641.561,120.57310856,23.64380530,8.993,1,4.572,0.000,0.000,0.000,無,0.000,0.170,4236.015,-0.019,-0.023
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,270,206450.142,2615651.409,120.57312534,23.64389427,9.051,1,4.602,0.000,0.000,0.000,無,0.000,0.168,2129.063,-0.020,-0.028
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,280,206451.844,2615661.296,120.57314173,23.64398359,9.071,1,4.618,0.000,0.000,0.000,無,0.000,0.163,2901.647,-0.023,-0.029
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,290,206453.372,2615671.179,120.57315642,23.64407288,8.997,1,4.603,0.000,0.000,0.000,無,0.000,0.160,3410.295,-0.028,-0.015
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,300,206455.056,2615681.066,120.57317263,23.64416220,9.008,1,4.545,0.000,0.000,0.000,無,0.000,0.157,3799.463,-0.032,-0.018
2022/8/16,國道三號,N0030,往北,271K+000,271000,300271NE0L0,63,古坑交流道,北出,出,柔性,310,206456.700,2615690.930,120.57318846,23.64425131,9.049,1,4.556,0.000,0.000,0.000,無,0.000,0.154,1071.149,-0.033,-0.017
