調查日期,國道名稱,國道編號,方向,樁號,里程,原始坐標E,原始坐標N,經緯度坐標Lon,經緯度坐標Lat,鋪面種類,路幅寬,全路幅寬,車道數,車道1寬,車道2寬,車道3寬,車道4寬,車道5寬,車道6寬,槽化區,槽化區寬,內路肩,內路肩寬,外路肩,外路肩寬,輔助車道1,輔助車道1寬,輔助車道2,輔助車道2寬,輔助車道3,輔助車道3寬,避車彎,曲率半徑,縱向坡度,橫向坡度
2022/4/28,國道五號,N0050,往北,000K+000,0,312916.399,2769854.099,121.6234763,25.03549653,柔性,15.432,15.432,3,3.71,3.89,0,0,0,0,無,0,有,1.067,有,2.877,減速車道,3.889,無,0,無,0,無,,-0.015,-0.021
2022/4/28,國道五號,N0050,往北,000K+010,10,312925.24,2769850.917,121.6235637,25.03546744,柔性,15.412,15.412,3,3.709,3.939,0,0,0,0,無,0,有,1.097,有,2.881,減速車道,3.786,無,0,無,0,無,1271.501,-0.015,-0.02
2022/4/28,國道五號,N0050,往北,000K+020,20,312934.201,2769847.969,121.6236524,25.03544045,柔性,15.424,15.424,3,3.696,4.013,0,0,0,0,無,0,有,1.119,有,2.892,減速車道,3.703,無,0,無,0,無,4393.801,-0.013,-0.019
2022/4/28,國道五號,N0050,往北,000K+030,30,312943.22,2769845.035,121.6237416,25.03541359,柔性,15.467,15.467,3,3.703,4.044,0,0,0,0,無,0,有,1.127,有,2.925,減速車道,3.669,無,0,無,0,無,25666.06,-0.011,-0.02
2022/4/28,國道五號,N0050,往北,000K+040,40,312952.184,2769842.072,121.6238303,25.03538646,柔性,15.477,15.477,3,3.723,4.095,0,0,0,0,無,0,有,1.107,有,2.945,減速車道,3.607,無,0,無,0,無,2434.449,-0.014,-0.019
2022/4/28,國道五號,N0050,往北,000K+050,50,312961.127,2769839.114,121.6239188,25.03535939,柔性,15.471,15.471,3,3.729,4.142,0,0,0,0,無,0,有,1.091,有,2.958,減速車道,3.55,無,0,無,0,無,3667.438,-0.014,-0.021
2022/4/28,國道五號,N0050,往北,000K+060,60,312970.089,2769836.143,121.6240075,25.03533219,柔性,15.452,15.452,3,3.677,4.266,0,0,0,0,無,0,有,1.102,有,2.961,減速車道,3.445,無,0,無,0,無,187819.2,-0.014,-0.024
2022/4/28,國道五號,N0050,往北,000K+070,70,312979.088,2769833.182,121.6240965,25.03530509,柔性,15.458,15.458,3,3.627,4.318,0,0,0,0,無,0,有,1.114,有,2.99,減速車道,3.41,無,0,無,0,無,13854.19,-0.014,-0.022
2022/4/28,國道五號,N0050,往北,000K+080,80,312988.06,2769830.24,121.6241853,25.03527815,柔性,15.473,15.473,3,3.672,4.361,0,0,0,0,無,0,有,1.053,有,3.033,減速車道,3.354,無,0,無,0,無,3217.429,-0.015,-0.021
2022/4/28,國道五號,N0050,往北,000K+090,90,312996.99,2769827.287,121.6242736,25.03525112,柔性,15.449,15.449,3,3.69,4.361,0,0,0,0,無,0,有,1.016,有,3.047,減速車道,3.336,無,0,無,0,無,4499.108,-0.013,-0.02
2022/4/28,國道五號,N0050,往北,000K+100,100,313006.071,2769824.676,121.6243635,25.03522717,柔性,15.422,15.422,3,3.667,4.443,0,0,0,0,無,0,有,1.03,有,3.034,減速車道,3.247,無,0,無,0,無,4613.725,-0.012,-0.02
2022/4/28,國道五號,N0050,往北,000K+110,110,313016.243,2769820.895,121.6244641,25.03519262,柔性,15.431,15.431,3,3.663,4.463,0,0,0,0,無,0,有,1.033,有,3.015,減速車道,3.257,無,0,無,0,無,130797.4,-0.013,-0.02
2022/4/28,國道五號,N0050,往北,000K+120,120,313026.546,2769817.497,121.624566,25.03516151,柔性,15.427,15.427,3,3.661,4.478,0,0,0,0,無,0,有,1.017,有,3.009,減速車道,3.262,無,0,無,0,無,34882.46,-0.012,-0.02
2022/4/28,國道五號,N0050,往北,000K+130,130,313036.842,2769814.097,121.6246679,25.03513039,柔性,15.426,15.426,3,3.687,4.449,0,0,0,0,無,0,有,1.014,有,3.006,減速車道,3.269,無,0,無,0,無,22345.26,-0.01,-0.02
2022/4/28,國道五號,N0050,往北,000K+150,150,313057.509,2769807.561,121.6248724,25.03507052,柔性,16.238,16.238,3,3.675,4.533,0,0,0,0,無,0,有,1.525,有,3.275,減速車道,3.23,無,0,無,0,無,44210,-0.012,-0.018
2022/4/28,國道五號,N0050,往北,000K+200,200,313108.208,2769787.348,121.6253739,25.03488593,柔性,24.2,24.2,3,3.57,3.679,0,0,0,0,無,0,有,12.634,有,2.714,減速車道,1.603,無,0,無,0,無,2309.623,-0.014,-0.018
2022/4/28,國道五號,N0050,往北,000K+250,250,313149.869,2769769.312,121.6257859,25.03472136,柔性,7.817,7.817,2,3.489,3.619,0,0,0,0,無,0,無,0.349,無,0.359,無,0,無,0,無,0,無,25833.96,-0.011,-0.013
2022/4/28,國道五號,N0050,往北,000K+300,300,313193.5,2769756.126,121.6262176,25.0346005,柔性,7.822,7.822,2,3.43,3.658,0,0,0,0,無,0,無,0.369,無,0.364,無,0,無,0,無,0,無,2080.144,-0.013,-0.017
2022/4/28,國道五號,N0050,往北,000K+350,350,313240.52,2769739.33,121.6266828,25.03444691,柔性,7.764,7.764,2,3.462,3.648,0,0,0,0,無,0,無,0.349,無,0.305,無,0,無,0,無,0,無,243855.7,-0.014,-0.005
2022/4/28,國道五號,N0050,往北,000K+400,400,313288.328,2769724.704,121.6271558,25.03431287,柔性,7.768,7.768,2,3.48,3.59,0,0,0,0,無,0,無,0.339,無,0.36,無,0,無,0,無,0,無,15789.65,-0.014,0.018
2022/4/28,國道五號,N0050,往北,000K+450,450,313334.99,2769706.987,121.6276174,25.03415097,柔性,7.769,7.769,2,3.494,3.604,0,0,0,0,無,0,無,0.341,無,0.33,無,0,無,0,無,0,無,3039.964,-0.011,0.022
