調查日期,國道名稱,國道編號,方向 ,樁號,里程,匝道編號,匝道編號 (舊),交流道名稱,匝道中文描述,出入國道,鋪面種類,與匝道起點距離,原始坐標E,原始坐標N,經緯度坐標Lon,經緯度坐標Lat,路幅寬,車道數,車道1寬,車道2寬,車道3寬,車道4寬,槽化區,槽化區寬,方位角,曲率半徑,縱向坡度,橫向坡度
2022/4/28,國道三號,N0030,往東,016K+000,16000,300016EJ00L,13,南港系統交流道,,出,柔性,0,312845.426,2769825.802,121.62277167,25.03524402,7.750,1,3.971,0.000,0.000,0.000,無,0.000,1.887,35721024.000,0.01,-0.03
2022/4/28,國道三號,N0030,往東,016K+000,16000,300016EJ00L,13,南港系統交流道,,出,柔性,10,312852.562,2769815.424,121.62284192,25.03515003,7.660,1,3.944,0.000,0.000,0.000,無,0.000,1.887,2763.180,0.01,-0.02
2022/4/28,國道三號,N0030,往東,016K+000,16000,300016EJ00L,13,南港系統交流道,,出,柔性,20,312862.104,2769812.431,121.62293633,25.03512261,7.490,1,3.858,0.000,0.000,0.000,無,0.000,1.883,1948.810,0.012,-0.02
2022/4/28,國道三號,N0030,往東,016K+000,16000,300016EJ00L,13,南港系統交流道,,出,柔性,30,312871.672,2769809.369,121.62303100,25.03509457,7.420,1,3.797,0.000,0.000,0.000,無,0.000,1.888,12520.970,0.013,-0.03
2022/4/28,國道三號,N0030,往東,016K+000,16000,300016EJ00L,13,南港系統交流道,,出,柔性,40,312881.239,2769806.662,121.62312568,25.03506974,6.920,1,3.637,0.000,0.000,0.000,無,0.000,1.887,843.021,0.013,-0.02
2022/4/28,國道三號,N0030,往東,016K+000,16000,300016EJ00L,13,南港系統交流道,,出,柔性,50,312891.006,2769803.990,121.62322234,25.03504521,6.410,1,3.524,0.000,0.000,0.000,無,0.000,1.875,80539354.000,0.011,-0.02
2022/4/28,國道三號,N0030,往東,016K+000,16000,300016EJ00L,13,南港系統交流道,,出,柔性,60,312900.631,2769801.264,121.62331759,25.03502020,5.930,1,3.187,0.000,0.000,0.000,無,0.000,1.875,2869.666,0.011,-0.02
2022/4/28,國道三號,N0030,往東,016K+000,16000,300016EJ00L,13,南港系統交流道,,出,柔性,70,312910.255,2769798.531,121.62341282,25.03499513,5.520,1,2.927,0.000,0.000,0.000,無,0.000,1.879,19531.650,0.012,-0.02
2022/4/28,國道三號,N0030,往東,016K+000,16000,300016EJ00L,13,南港系統交流道,,出,柔性,80,312919.844,2769795.792,121.62350772,25.03497000,5.110,1,2.639,0.000,0.000,0.000,無,0.000,1.879,3503.737,0.012,-0.03
2022/4/28,國道三號,N0030,往東,016K+000,16000,300016EJ00L,13,南港系統交流道,,出,柔性,90,312929.487,2769793.047,121.62360315,25.03494482,4.690,1,2.356,0.000,0.000,0.000,無,0.000,1.877,12329846.000,0.01,-0.03
2022/4/28,國道三號,N0030,往東,016K+000,16000,300016EJ00L,13,南港系統交流道,,出,柔性,100,312939.113,2769790.322,121.62369841,25.03491982,4.220,1,2.029,0.000,0.000,0.000,無,0.000,1.877,5170.391,0.01,-0.03
2022/4/28,國道三號,N0030,往東,016K+000,16000,300016EJ00L,13,南港系統交流道,,出,柔性,110,312948.728,2769787.563,121.62379356,25.03489451,3.800,1,1.713,0.000,0.000,0.000,無,0.000,1.875,15424.390,0.01,-0.03
2022/4/28,國道三號,N0030,往東,016K+000,16000,300016EJ00L,13,南港系統交流道,,出,柔性,120,312958.341,2769784.740,121.62388869,25.03486862,3.510,1,1.480,0.000,0.000,0.000,無,0.000,1.874,26185.180,0.01,-0.03
2022/4/28,國道三號,N0030,往東,016K+000,16000,300016EJ00L,13,南港系統交流道,,出,柔性,130,312967.906,2769781.820,121.62398333,25.03484187,3.250,1,1.176,0.000,0.000,0.000,無,0.000,1.874,48934.600,0.011,-0.03
2022/4/28,國道三號,N0030,往東,016K+000,16000,300016EJ00L,13,南港系統交流道,,出,柔性,140,312977.403,2769778.700,121.62407730,25.03481330,3.230,1,0.892,0.000,0.000,0.000,無,0.000,1.875,9026.578,0.012,-0.02
2022/4/28,國道三號,N0030,往東,016K+000,16000,300016EJ00L,13,南港系統交流道,,出,柔性,150,312986.903,2769775.573,121.62417129,25.03478467,3.230,1,0.618,0.000,0.000,0.000,無,0.000,1.873,4681.565,0.011,-0.02
2022/4/28,國道三號,N0030,往東,016K+000,16000,300016EJ00L,13,南港系統交流道,,出,柔性,160,312996.408,2769772.433,121.62426533,25.03475594,3.220,1,0.333,0.000,0.000,0.000,無,0.000,1.876,1059.633,0.01,-0.02
2022/4/28,國道三號,N0030,往東,016K+000,16000,300016EJ00L,13,南港系統交流道,,出,柔性,170,313005.884,2769769.301,121.62435909,25.03472727,3.250,1,0.078,0.000,0.000,0.000,無,0.000,1.885,2279.239,0.011,-0.03
2022/4/28,國道三號,N0030,往東,016K+000,16000,300016EJ00L,13,南港系統交流道,,出,柔性,180,313015.290,2769766.195,121.62445216,25.03469883,3.300,1,3.772,0.000,0.000,0.000,無,0.000,1.889,6494.729,0.012,-0.03
