方向,編號,"收費區
設定里程",小車牌價,交流道(起),交流道(迄),,緯度(北緯),,經度(東經)
N,01F-029.3N,5.9,7,五股,三重,N,25.07479722,E,121.4729611
N,01F-033.9N,1.4,1.6,高公局,五股,N,25.068239,E,121.428764
N,01F-037.6N,6.5,7.8,林口(文化一路),高公局,N,25.058667,E,121.397306
N,01F-041.3N,1.4,1.6,林口(文化北路),林口(文化一路),N,25.065081,E,121.363444
N,01F-046.7N,6.8,8.1,桃園,林口(文化北路),N,25.047075,E,121.317761
N,01F-050.9N,3.2,3.8,機場系統(連接國2),桃園,N,25.027206,E,121.283072
N,01F-053.2N,2.9,3.4,中壢服務區,機場系統(連接國2),N,25.012944,E,121.266194
N,01F-055.7N,2.2,2.6,內壢,中壢服務區,N,24.998583,E,121.247722
N,01F-058.4N,5.1,6.1,中壢,內壢,N,24.980558,E,121.228944
N,01F-063.3N,2.6,3.1,平鎮系統(連接台66),中壢,N,24.949281,E,121.195594
N,01F-066.4N,2.3,2.7,幼獅,平鎮系統(連接台66),N,24.929544,E,121.176919
N,01F-068.1N,1.9,2.2,楊梅,幼獅,N,24.917967,E,121.167586
N,01F-075.0N,14.6,17.5,湖口,楊梅,N,24.893436,E,121.111731
N,01F-088.0N,7.3,8.7,竹北,湖口,N,24.848719,E,121.019031
N,01F-092.8N,3,3.6,新竹(光復路),竹北,N,24.808453,E,121.010306
N,01F-095.6N,2.5,3,新竹(科學園區),新竹(光復路),N,24.783944,E,121.003725
N,01F-104.5N,11,13.2,頭份,新竹系統(連接國3),N,24.727131,E,120.951897
