方向,編號,"收費區
設定里程",小車牌價,交流道(起),交流道(迄),,緯度(北緯),,經度(東經)
S,01F-033.9S,1.4,1.6,五股,高公局,N,25.068239,E,121.428764
S,01F-037.6S,6.5,7.8,高公局,林口(文化一路),N,25.058667,E,121.397306
S,01F-041.3S,1.4,1.6,林口(文化一路),林口(文化北路),N,25.065081,E,121.363444
S,01F-046.7S,6.8,8.1,林口(文化北路),桃園,N,25.047075,E,121.317761
S,01F-050.9S,3.2,3.8,桃園,機場系統(連接國2),N,25.027206,E,121.283072
S,01F-053.2S,2.9,3.4,機場系統(連接國2),中壢服務區,N,25.012944,E,121.266194
S,01F-055.7S,2.2,2.6,中壢服務區,內壢,N,24.99858333,E,121.2477222
S,01F-057.8S,5.1,6.1,內壢,中壢,N,24.984414,E,121.233197
S,01F-063.3S,2.6,3.1,中壢,平鎮系統(連接台66),N,24.949281,E,121.195594
S,01F-066.4S,2.3,2.7,平鎮系統(連接台66),幼獅,N,24.929544,E,121.176919
S,01F-068.1S,1.9,2.2,幼獅,楊梅,N,24.917967,E,121.167586
S,01F-075.0S,14.6,17.5,楊梅,湖口,N,24.893436,E,121.111731
S,01F-088.0S,7.3,8.7,湖口,竹北,N,24.848719,E,121.019031
S,01F-092.8S,3,3.6,竹北,新竹(光復路),N,24.808453,E,121.010306
S,01F-095.0S,2.5,3,新竹(光復路),新竹(科學園區),N,24.789622,E,121.005247
S,01F-098.0S,2.8,3.3,新竹(科學園區),新竹系統(連接國3),N,24.763586,E,120.998861
S,01F-104.5S,11,13.2,新竹系統(連接國3),頭份,N,24.727131,E,120.951897
